"Macrorregi�o de Sa�de","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020"
"3206 NORTE",40293,39432,38438,37386,36487,35828,35824,36081,36432,36744,36802,36405,35600,34769,33974,33154,32272,31515,30873,30292,29786
"3207 METROPOLITANA",171825,170339,168047,165552,163618,162729,162150,162639,163715,164457,164384,164487,163220,161571,160055,158713,156962,155806,155195,154938,155038
"3208 CENTRAL",53893,53267,52442,51557,50846,50446,50254,50384,50719,50925,50861,50727,50133,49436,48789,48179,47335,46675,46173,45784,45491
"3312 MACRORREGIAO I",1249531,1244849,1241701,1241631,1246740,1257889,1274167,1295984,1317147,1328015,1322857,1299088,1258293,1212720,1172632,1138744,1110588,1092476,1077966,1064445,1055135
"3518 RRAS9",134357,131705,128776,126044,124138,123369,123781,124978,126375,127228,126885,126033,123767,120952,118356,116361,114290,112890,112006,111277,110502
"3519 RRAS8",198680,195566,192077,188820,186747,186438,188525,191767,195401,198147,199089,196627,191951,186357,181177,176909,172844,169801,167522,165466,163341
"3520 RRAS7",165987,162981,159698,156632,154552,153922,156853,160762,164988,168435,170337,168538,164799,160241,156073,152649,149509,147248,145644,144228,142760
"3521 RRAS6",903435,889088,873283,858758,849754,848754,852875,862269,873278,880126,879420,878949,868956,854946,842617,834429,817514,805589,797279,790079,782675
"3522 RRAS5",154029,151947,149604,147467,146279,146473,147757,149964,152483,154329,154825,153828,151170,147818,144768,142439,139501,137423,135957,134683,133375
"3523 RRAS4",80205,79703,79007,78382,78258,78881,80872,83349,86038,88354,89883,89380,87919,86022,84332,83042,81758,80947,80504,80165,79798
"3524 RRAS3",44879,44794,44585,44424,44536,45083,46013,47218,48538,49645,50319,50032,49199,48143,47179,46460,45625,45055,44686,44374,44048
"3525 RRAS2",238916,236881,234373,232092,231310,232740,237031,242818,249121,254337,257302,255360,250666,244771,239407,235228,229716,225624,222498,219691,216794
"3526 RRAS17",195473,192221,188592,185186,182960,182468,183902,186455,189425,191441,191813,189998,186048,181222,176810,173270,170283,168295,167058,166049,164990
"3527 RRAS16",88340,87411,86234,85157,84604,84866,85527,86695,88043,88981,89150,89102,88078,86649,85390,84564,83599,83105,82986,82974,82938
"3528 RRAS15",255365,252328,248713,245346,243564,244088,244131,245572,247488,248257,246956,246169,242768,238277,234224,231357,228476,226933,226402,226188,225890
"3529 RRAS14",117304,115483,113427,111504,110290,110124,110318,111190,112268,112822,112376,111842,110075,107804,105753,104220,102685,101753,101288,100954,100592
"3530 RRAS13",318445,313672,308219,303175,300027,299718,299042,300153,301816,302076,299705,299341,295742,290739,286320,283334,279354,277010,275914,275183,274381
"3531 RRAS12",173929,170018,165741,161732,158756,157216,156438,156601,157071,156751,155067,153663,150550,146719,143223,140424,139143,138675,138809,139162,139468
"3532 RRAS11",65594,63903,62109,60411,59113,58349,58145,58309,58592,58537,57974,57093,55552,53770,52091,50673,49486,48595,47924,47317,46691
"3533 RRAS10",93735,91343,88787,86453,84635,83588,83380,83700,84171,84187,83471,82279,80141,77640,75305,73345,71883,70842,70130,69499,68860
